FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,TYPE,HLO,DATATYPE
X1637F,1,1,1: Today (After midnight last ni,1,40,32,32,1E-12,N,,
X1637F,2,2,2: Yesterday (Before midnight la,1,40,32,32,1E-12,N,,
X1637F,3,3,3: The day before yesterday,1,40,32,32,1E-12,N,,
X1638F,.,.Z,XSPECF5.,1,40,27,27,1E-12,N,F,
X1638F,LOW,0,XSPECF5.,1,40,27,27,1E-12,N,LF,
X1638F,1,1,1: Today,1,40,27,27,1E-12,N,,
X1638F,2,2,2: Yesterday,1,40,27,27,1E-12,N,,
X1638F,3,3,3: The day before yesterday,1,40,27,27,1E-12,N,,
X1639F,.,.Z,XSPECF5.,1,40,12,12,1E-12,N,F,
X1639F,LOW,0,XSPECF5.,1,40,12,12,1E-12,N,LF,
X1639F,1,1,1: Vaginal,1,40,12,12,1E-12,N,,
X1639F,2,2,2: C-section,1,40,12,12,1E-12,N,,
X1639F,3,3,3: Both,1,40,12,12,1E-12,N,,
X163F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X163F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X163F,1,1,1: Temporarily unavailable,1,40,32,32,1E-12,N,,
X163F,2,2,2: Unavailable for 3 months or m,1,40,32,32,1E-12,N,,
X163F,3,3,3: No longer a resident of this,1,40,32,32,1E-12,N,,
X1640F,.,.Z,XSPECF5.,1,40,28,28,1E-12,N,F,
X1640F,LOW,0,XSPECF5.,1,40,28,28,1E-12,N,LF,
X1640F,1,1,1: Very high confidence,1,40,28,28,1E-12,N,,
X1640F,2,2,2: High confidence,1,40,28,28,1E-12,N,,
X1640F,3,3,3: Moderate confidence,1,40,28,28,1E-12,N,,
X1640F,4,4,4: Low confidence,1,40,28,28,1E-12,N,,
X1640F,5,5,5: Very low or no confidence,1,40,28,28,1E-12,N,,
X1641F,.,.Z,XSPECF5.,1,40,26,26,1E-12,N,F,
X1641F,LOW,0,XSPECF5.,1,40,26,26,1E-12,N,LF,
X1641F,1,1,1: Very high,1,40,26,26,1E-12,N,,
X1641F,2,2,2: High,1,40,26,26,1E-12,N,,
X1641F,3,3,3: Moderate,1,40,26,26,1E-12,N,,
X1641F,4,4,4: Low,1,40,26,26,1E-12,N,,
X1641F,5,5,5: Very low or none at all,1,40,26,26,1E-12,N,,
X1642F,.,.Z,XSPECF5.,1,40,12,12,1E-12,N,F,
X1642F,LOW,0,XSPECF5.,1,40,12,12,1E-12,N,LF,
X1642F,1,1,1: Very low,1,40,12,12,1E-12,N,,
X1642F,2,2,2: Low,1,40,12,12,1E-12,N,,
X1642F,3,3,3: Moderate,1,40,12,12,1E-12,N,,
X1642F,4,4,4: High,1,40,12,12,1E-12,N,,
X1642F,5,5,5: Very high,1,40,12,12,1E-12,N,,
X1643F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X1643F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X1643F,1,1,1: Very satisfied,1,40,32,32,1E-12,N,,
X1643F,2,2,2:  Moderately satisfied,1,40,32,32,1E-12,N,,
X1643F,3,3,3: About equally satisfied and d,1,40,32,32,1E-12,N,,
X1643F,4,4,4: Moderately dissatisfied,1,40,32,32,1E-12,N,,
X1643F,5,5,5: Very dissatisfied,1,40,32,32,1E-12,N,,
X1644F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X1644F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X1644F,1,1,1: Working for pay,1,40,32,32,1E-12,N,,
X1644F,2,2,2: Unemployed/looking for work,1,40,32,32,1E-12,N,,
X1644F,3,3,"3: Temporarily laid off, sick/ot",1,40,32,32,1E-12,N,,
X1644F,4,4,4: Disabled,1,40,32,32,1E-12,N,,
X1644F,5,5,5: Retired,1,40,32,32,1E-12,N,,
X1644F,6,6,6: Homemaker,1,40,32,32,1E-12,N,,
X1644F,7,7,7: Full time student,1,40,32,32,1E-12,N,,
X1644F,99,99,99: Other,1,40,32,32,1E-12,N,,
X1645F,.,.Z,XSPECF5.,1,40,15,15,1E-12,N,F,
X1645F,LOW,0,XSPECF5.,1,40,15,15,1E-12,N,LF,
X1645F,1,1,"1: Yes, current",1,40,15,15,1E-12,N,,
X1645F,2,2,"2: Yes, past",1,40,15,15,1E-12,N,,
X1645F,3,3,3: No,1,40,15,15,1E-12,N,,
X1646F,.,.Z,XSPECF5.,1,40,25,25,1E-12,N,F,
X1646F,LOW,0,XSPECF5.,1,40,25,25,1E-12,N,LF,
X1646F,1,1,"1: Yes, limited a lot",1,40,25,25,1E-12,N,,
X1646F,2,2,"2: Yes, limited a little",1,40,25,25,1E-12,N,,
X1646F,3,3,"3: No, not limited at all",1,40,25,25,1E-12,N,,
X1647F,.,.Z,XSPECF5.,1,40,15,15,1E-12,N,F,
X1647F,LOW,0,XSPECF5.,1,40,15,15,1E-12,N,LF,
X1647F,1,1,"1: Yes, past",1,40,15,15,1E-12,N,,
X1647F,2,2,"2: Yes, current",1,40,15,15,1E-12,N,,
X1647F,3,3,3: No,1,40,15,15,1E-12,N,,
X1648F,.,.Z,XSPECF5.,1,40,31,31,1E-12,N,F,
X1648F,LOW,0,XSPECF5.,1,40,31,31,1E-12,N,LF,
X1648F,1,1,"1: Yes, shortly before a period",1,40,31,31,1E-12,N,,
X1648F,2,2,"2: Yes, shortfly after a period",1,40,31,31,1E-12,N,,
X1648F,3,3,"3: Yes, at mid-cycle",1,40,31,31,1E-12,N,,
X1648F,4,4,"4: Yes, during a period",1,40,31,31,1E-12,N,,
X1648F,5,5,"5: Or not, not at the same time",1,40,31,31,1E-12,N,,
X1649F,.,.Z,XSPECF5.,1,40,8,8,1E-12,N,F,
X1649F,LOW,0,XSPECF5.,1,40,8,8,1E-12,N,LF,
X1649F,1,1,1: Yes,1,40,8,8,1E-12,N,,
X1649F,2,2,2: No,1,40,8,8,1E-12,N,,
X164F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X164F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X164F,1,1,1: Temporarily unavailable,1,40,32,32,1E-12,N,,
X164F,2,2,2: Unavailable for 3 months or m,1,40,32,32,1E-12,N,,
X164F,3,3,3: No longer a resident of this,1,40,32,32,1E-12,N,,
X164F,99,99,99: Other,1,40,32,32,1E-12,N,,
X1650F,.,.Z,XSPECF5.,1,40,8,8,1E-12,N,SF,
X1650F,LOW,0,XSPECF5.,1,40,8,8,1E-12,N,SLF,
X1650F,-8,-8,-8: DK,1,40,8,8,1E-12,N,S,
X1650F,1,1,1: Yes,1,40,8,8,1E-12,N,S,
X1650F,2,2,2: No,1,40,8,8,1E-12,N,S,
X1651F,.,.Z,XSPECF5.,1,40,15,15,1E-12,N,F,
X1651F,LOW,0,XSPECF5.,1,40,15,15,1E-12,N,LF,
X1651F,1,1,1: Yes,1,40,15,15,1E-12,N,,
X1651F,2,2,2: No,1,40,15,15,1E-12,N,,
X1651F,3,3,3: Wrong number,1,40,15,15,1E-12,N,,
X1652F,.,.Z,XSPECF5.,1,40,16,16,1E-12,N,F,
X1652F,LOW,0,XSPECF5.,1,40,16,16,1E-12,N,LF,
X1652F,1,1,1: Your employer,1,40,16,16,1E-12,N,,
X1652F,2,2,2: Medicaid,1,40,16,16,1E-12,N,,
X1652F,3,3,3: Medicare,1,40,16,16,1E-12,N,,
X1652F,4,4,4: Yourself,1,40,16,16,1E-12,N,,
X1655F,.,.Z,XSPECF5.,1,40,8,8,1E-12,N,F,
X1655F,LOW,0,XSPECF5.,1,40,8,8,1E-12,N,LF,
X1656F,.,.Z,XSPECF5.,1,40,8,8,1E-12,N,F,
X1656F,LOW,0,XSPECF5.,1,40,8,8,1E-12,N,LF,
X1657F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,SF,
X1657F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,SLF,
X1657F,0,0,0: Did not attempt vaginal penet,1,40,32,32,1E-12,N,S,
X1657F,1,1,1: Almost always or always,1,40,32,32,1E-12,N,S,
X1657F,2,2,2: Most times,1,40,32,32,1E-12,N,S,
X1657F,3,3,3: Sometimes,1,40,32,32,1E-12,N,S,
X1657F,4,4,4: A few times,1,40,32,32,1E-12,N,S,
X1657F,5,5,5: Almost never or never,1,40,32,32,1E-12,N,S,
X1658F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,SF,
X1658F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,SLF,
X1658F,0,0,0: Did not attempt vaginal penet,1,40,32,32,1E-12,N,S,
X1658F,1,1,1: Very high,1,40,32,32,1E-12,N,S,
X1658F,2,2,2: Most times,1,40,32,32,1E-12,N,S,
X1658F,3,3,3: Sometimes,1,40,32,32,1E-12,N,S,
X1658F,4,4,4: A few times,1,40,32,32,1E-12,N,S,
X1658F,5,5,5: Almost never or never,1,40,32,32,1E-12,N,S,
X1659F,.,.Z,XSPECF5.,1,40,12,12,1E-12,N,SF,
X1659F,LOW,0,XSPECF5.,1,40,12,12,1E-12,N,SLF,
X1659F,0,0,0: Never,1,40,12,12,1E-12,N,S,
X1659F,1,1,1: Seldom,1,40,12,12,1E-12,N,S,
X1659F,2,2,2: Sometimes,1,40,12,12,1E-12,N,S,
X1659F,3,3,3: Often,1,40,12,12,1E-12,N,S,
X165F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X165F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X165F,1,1,1: Today (After midnight last ni,1,40,32,32,1E-12,N,,
X165F,2,2,2: Yesterday (Before midnight la,1,40,32,32,1E-12,N,,
X165F,3,3,3: The day before yesterday,1,40,32,32,1E-12,N,,
X1660F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,SF,
X1660F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,SLF,
X1660F,0,0,0: Not currently experiencing pe,1,40,32,32,1E-12,N,S,
X1660F,1,1,1: 1 -2,1,40,32,32,1E-12,N,S,
X1660F,2,2,2:  3 - 5,1,40,32,32,1E-12,N,S,
X1660F,3,3,3:  6 - 10,1,40,32,32,1E-12,N,S,
X1660F,4,4,4:  More than 10,1,40,32,32,1E-12,N,S,
X1661F,.,.Z,XSPECF5.,1,40,26,26,1E-12,N,F,
X1661F,LOW,0,XSPECF5.,1,40,26,26,1E-12,N,LF,
X1661F,1,1,1:  1 shot (1.5oz),1,40,26,26,1E-12,N,,
X1661F,2,2,2:  2-3 shots,1,40,26,26,1E-12,N,,
X1661F,3,3,3:  4-6 shots or a 1/2pint,1,40,26,26,1E-12,N,,
X1661F,4,4,4:  7-11 shots or a pint,1,40,26,26,1E-12,N,,
X1661F,5,5,5:  2 pints (32oz) or more,1,40,26,26,1E-12,N,,
X1662F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X1662F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X1662F,1,1,1:  1-2 12oz serving(s),1,40,32,32,1E-12,N,,
X1662F,2,2,2:  3-5 12oz servings,1,40,32,32,1E-12,N,,
X1662F,3,3,3:  1-2 six packs (12oz bottles/,1,40,32,32,1E-12,N,,
X1662F,4,4,4:  2-3 six packs (12oz bottles/,1,40,32,32,1E-12,N,,
X1662F,5,5,5:  3+ six packs (12oz bottles/c,1,40,32,32,1E-12,N,,
X1663F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X1663F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X1663F,1,1,1:  1-2 glasses (5oz),1,40,32,32,1E-12,N,,
X1663F,2,2,2:  1/2 carafe (12.5oz),1,40,32,32,1E-12,N,,
X1663F,3,3,3:  1 bottle,1,40,32,32,1E-12,N,,
X1663F,4,4,4:  2-4 bottles,1,40,32,32,1E-12,N,,
X1663F,5,5,5:  5 or more bottles of wine or,1,40,32,32,1E-12,N,,
X1664F,.,.Z,XSPECF5.,1,40,23,23,1E-12,N,F,
X1664F,LOW,0,XSPECF5.,1,40,23,23,1E-12,N,LF,
X1664F,1,1,1:  35 hrs or more/wk,1,40,23,23,1E-12,N,,
X1664F,2,2,2:  Less than 35 hrs/wk,1,40,23,23,1E-12,N,,
X1665F,.,.Z,XSPECF5.,1,40,15,15,1E-12,N,F,
X1665F,LOW,0,XSPECF5.,1,40,15,15,1E-12,N,LF,
X1665F,1,1,1:  <3 months,1,40,15,15,1E-12,N,,
X1665F,2,2,2:  3-6 months,1,40,15,15,1E-12,N,,
X1665F,3,3,3:  7-12 months,1,40,15,15,1E-12,N,,
X1665F,4,4,4:  1-5 years,1,40,15,15,1E-12,N,,
X1665F,5,5,5:  6+ years,1,40,15,15,1E-12,N,,
X1666F,.,.Z,XSPECF5.,1,40,26,26,1E-12,N,F,
X1666F,LOW,0,XSPECF5.,1,40,26,26,1E-12,N,LF,
X1666F,1,1,1:  Drops or a little more,1,40,26,26,1E-12,N,,
X1666F,2,2,2:  Small splashes,1,40,26,26,1E-12,N,,
X1666F,3,3,3:  Or more,1,40,26,26,1E-12,N,,
X1667F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X1667F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X1667F,1,1,1:  English,1,40,32,32,1E-12,N,,
X1667F,2,2,2:  English + Spanish simultaneo,1,40,32,32,1E-12,N,,
X1667F,3,3,3:  Spanish,1,40,32,32,1E-12,N,,
X1667F,99,99,99:  Or something else,1,40,32,32,1E-12,N,,
X1668F,.,.Z,XSPECF5.,1,40,30,30,1E-12,N,F,
X1668F,LOW,0,XSPECF5.,1,40,30,30,1E-12,N,LF,
X1668F,1,1,1:  Every day,1,40,30,30,1E-12,N,,
X1668F,2,2,2:  5-6 days a week,1,40,30,30,1E-12,N,,
X1668F,3,3,3:  3-4 days a week,1,40,30,30,1E-12,N,,
X1668F,4,4,4:  1-2 days a week,1,40,30,30,1E-12,N,,
X1668F,5,5,"5:  Or, less often than weekly",1,40,30,30,1E-12,N,,
X1669F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X1669F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X1669F,1,1,1:  Has not sought treatment,1,40,32,32,1E-12,N,,
X1669F,2,2,2:  Sought and received treatmen,1,40,32,32,1E-12,N,,
X1669F,3,3,"3:  Sought, but did not receive",1,40,32,32,1E-12,N,,
X166F,.,.Z,XSPECF5.,1,40,27,27,1E-12,N,F,
X166F,LOW,0,XSPECF5.,1,40,27,27,1E-12,N,LF,
X166F,1,1,1: Today,1,40,27,27,1E-12,N,,
X166F,2,2,2: Yesterday,1,40,27,27,1E-12,N,,
X166F,3,3,3: The day before yesterday,1,40,27,27,1E-12,N,,
X1670F,.,.Z,XSPECF5.,1,40,29,29,1E-12,N,F,
X1670F,LOW,0,XSPECF5.,1,40,29,29,1E-12,N,LF,
X1670F,1,1,1:  I do not have the symptom,1,40,29,29,1E-12,N,,
X1670F,2,2,2:  Rarely,1,40,29,29,1E-12,N,,
X1670F,3,3,3:  A few times,1,40,29,29,1E-12,N,,
X1670F,4,4,4:  Fairly often,1,40,29,29,1E-12,N,,
X1670F,5,5,5:  Usually,1,40,29,29,1E-12,N,,
X1670F,6,6,6:  Almost always,1,40,29,29,1E-12,N,,
X1671F,.,.Z,XSPECF5.,1,40,31,31,1E-12,N,F,
X1671F,LOW,0,XSPECF5.,1,40,31,31,1E-12,N,LF,
X1671F,1,1,1:  Less than 3 months,1,40,31,31,1E-12,N,,
X1671F,2,2,2:  3 to less than 6 months,1,40,31,31,1E-12,N,,
X1671F,3,3,3:  6 to less than 12 months,1,40,31,31,1E-12,N,,
X1671F,4,4,4:  1 year to less than 5 years,1,40,31,31,1E-12,N,,
X1671F,5,5,5:  5 years or more,1,40,31,31,1E-12,N,,
X1672F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X1672F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X1672F,1,1,1:  Less than 5 hours a night,1,40,32,32,1E-12,N,,
X1672F,2,2,2:  Or more than 5 hours a night,1,40,32,32,1E-12,N,,
X1673F,.,.Z,XSPECF5.,1,40,31,31,1E-12,N,F,
X1673F,LOW,0,XSPECF5.,1,40,31,31,1E-12,N,LF,
X1673F,1,1,1:  Less than once per month,1,40,31,31,1E-12,N,,
X1673F,2,2,2:  One or more times per month,1,40,31,31,1E-12,N,,
X1673F,3,3,3:  One or more times per week,1,40,31,31,1E-12,N,,
X1673F,4,4,4:  Everyday,1,40,31,31,1E-12,N,,
X1674F,.,.Z,XSPECF5.,1,40,25,25,1E-12,N,F,
X1674F,LOW,0,XSPECF5.,1,40,25,25,1E-12,N,LF,
X1674F,1,1,1:  Married,1,40,25,25,1E-12,N,,
X1674F,2,2,2: Living with a partner,1,40,25,25,1E-12,N,,
X1674F,3,3,3:  Divorced/separated,1,40,25,25,1E-12,N,,
X1674F,4,4,4:  Widowed,1,40,25,25,1E-12,N,,
X1674F,5,5,"5:  Single, never married",1,40,25,25,1E-12,N,,
X1674F,99,99,99:  Other,1,40,25,25,1E-12,N,,
X1675F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X1675F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X1675F,1,1,1:  No protection,1,40,32,32,1E-12,N,,
X1675F,2,2,"2:  Tissue, toilet paper, or pap",1,40,32,32,1E-12,N,,
X1675F,3,3,3:  Minipad or pantiliner,1,40,32,32,1E-12,N,,
X1675F,4,4,4:  Menstrual pad,1,40,32,32,1E-12,N,,
X1675F,5,5,"5:  Incontinence pad (Poise, Ser",1,40,32,32,1E-12,N,,
X1675F,6,6,6:  Incontinence diaper (Attends,1,40,32,32,1E-12,N,,
X1675F,7,7,7:  Something else,1,40,32,32,1E-12,N,,
X1676F,.,.Z,XSPECF5.,1,40,24,24,1E-12,N,F,
X1676F,LOW,0,XSPECF5.,1,40,24,24,1E-12,N,LF,
X1676F,1,1,1:  None of the time,1,40,24,24,1E-12,N,,
X1676F,2,2,2:  A little of the time,1,40,24,24,1E-12,N,,
X1676F,3,3,3:  Some of the time,1,40,24,24,1E-12,N,,
X1676F,4,4,4:  Most of the time,1,40,24,24,1E-12,N,,
X1676F,5,5,5:  All of the time,1,40,24,24,1E-12,N,,
X1677F,.,.Z,XSPECF5.,1,40,26,26,1E-12,N,F,
X1677F,LOW,0,XSPECF5.,1,40,26,26,1E-12,N,LF,
X1677F,1,1,1:  Not at all,1,40,26,26,1E-12,N,,
X1677F,2,2,2:  Once,1,40,26,26,1E-12,N,,
X1677F,3,3,3:  A few times (2-3),1,40,26,26,1E-12,N,,
X1677F,4,4,4:  Several times (4-6),1,40,26,26,1E-12,N,,
X1677F,5,5,5:  Many times (7 or more),1,40,26,26,1E-12,N,,
X1677F,6,6,6:  Everyday,1,40,26,26,1E-12,N,,
X1678F,.,.Z,XSPECF5.,1,40,14,14,1E-12,N,F,
X1678F,LOW,0,XSPECF5.,1,40,14,14,1E-12,N,LF,
X1678F,1,1,1:  Not at all,1,40,14,14,1E-12,N,,
X1678F,2,2,2:  Slightly,1,40,14,14,1E-12,N,,
X1678F,3,3,3:  Moderately,1,40,14,14,1E-12,N,,
X1678F,4,4,4:  Greatly,1,40,14,14,1E-12,N,,
X1679F,.,.Z,XSPECF5.,1,40,8,8,1E-12,N,F,
X1679F,LOW,0,XSPECF5.,1,40,8,8,1E-12,N,LF,
X1679F,1,1,1:  Yes,1,40,8,8,1E-12,N,,
X1679F,2,2,2:  No,1,40,8,8,1E-12,N,,
X167F,.,.Z,XSPECF5.,1,40,12,12,1E-12,N,F,
X167F,LOW,0,XSPECF5.,1,40,12,12,1E-12,N,LF,
X167F,1,1,1: Vaginal,1,40,12,12,1E-12,N,,
X167F,2,2,2: C-section,1,40,12,12,1E-12,N,,
X167F,3,3,3: Both,1,40,12,12,1E-12,N,,
X1680F,.,.Z,XSPECF5.,1,40,16,16,1E-12,N,F,
X1680F,LOW,0,XSPECF5.,1,40,16,16,1E-12,N,LF,
X1680F,1,1,1:  Zero,1,40,16,16,1E-12,N,,
X1680F,2,2,2:  One,1,40,16,16,1E-12,N,,
X1680F,3,3,3:  Two or three,1,40,16,16,1E-12,N,,
X1680F,4,4,4:  Four or more,1,40,16,16,1E-12,N,,
X1681F,.,.Z,XSPECF5.,1,40,23,23,1E-12,N,F,
X1681F,LOW,0,XSPECF5.,1,40,23,23,1E-12,N,LF,
X1681F,1,1,1: 10 minutes or less,1,40,23,23,1E-12,N,,
X1681F,2,2,2: More than 10 minutes,1,40,23,23,1E-12,N,,
X1682F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X1682F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X1682F,1,1,1: 6 months or less,1,40,32,32,1E-12,N,,
X1682F,2,2,"2: More than 6 months, less than",1,40,32,32,1E-12,N,,
X1682F,3,3,"3: More than 1 year, less than 2",1,40,32,32,1E-12,N,,
X1682F,4,4,"4: More than 2 years, less than",1,40,32,32,1E-12,N,,
X1682F,5,5,5: 5 years or more,1,40,32,32,1E-12,N,,
X1683F,.,.Z,XSPECF5.,1,40,8,8,1E-12,N,F,
X1683F,LOW,0,XSPECF5.,1,40,8,8,1E-12,N,LF,
X1683F,1,1,1: AM,1,40,8,8,1E-12,N,,
X1683F,2,2,2: PM,1,40,8,8,1E-12,N,,
X1684F,.,.Z,XSPECF5.,1,40,14,14,1E-12,N,F,
X1684F,LOW,0,XSPECF5.,1,40,14,14,1E-12,N,LF,
X1684F,1,1,1: Abdominally,1,40,14,14,1E-12,N,,
X1684F,2,2,2: Vaginally,1,40,14,14,1E-12,N,,
X1685F,.,.Z,XSPECF5.,1,40,26,26,1E-12,N,F,
X1685F,LOW,0,XSPECF5.,1,40,26,26,1E-12,N,LF,
X1685F,1,1,1: Almost always or always,1,40,26,26,1E-12,N,,
X1685F,2,2,2: Most times,1,40,26,26,1E-12,N,,
X1685F,3,3,3: Sometimes,1,40,26,26,1E-12,N,,
X1685F,4,4,4: A few times,1,40,26,26,1E-12,N,,
X1685F,5,5,5: Almost never or never,1,40,26,26,1E-12,N,,
X1686F,.,.Z,XSPECF5.,1,40,23,23,1E-12,N,F,
X1686F,LOW,0,XSPECF5.,1,40,23,23,1E-12,N,LF,
X1686F,1,1,1: Almost never/never,1,40,23,23,1E-12,N,,
X1686F,2,2,2: A few times,1,40,23,23,1E-12,N,,
X1686F,3,3,3: Sometimes,1,40,23,23,1E-12,N,,
X1686F,4,4,4: Most times,1,40,23,23,1E-12,N,,
X1686F,5,5,5: Almost always/always,1,40,23,23,1E-12,N,,
X1687F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X1687F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X1687F,1,1,1: As a result of a fall from a,1,40,32,32,1E-12,N,,
X1687F,2,2,2: Because of a harder fall,1,40,32,32,1E-12,N,,
X1687F,3,3,3: Or from a car accident or oth,1,40,32,32,1E-12,N,,
X1687F,99,99,99: Other,1,40,32,32,1E-12,N,,
X1688F,.,.Z,XSPECF5.,1,40,28,28,1E-12,N,F,
X1688F,LOW,0,XSPECF5.,1,40,28,28,1E-12,N,LF,
X1688F,1,1,1: Black or African American,1,40,28,28,1E-12,N,,
X1688F,2,2,2: Asian,1,40,28,28,1E-12,N,,
X1688F,3,3,3: White or Caucasian,1,40,28,28,1E-12,N,,
X1688F,99,99,99: Other,1,40,28,28,1E-12,N,,
X1689F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X1689F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X1689F,1,1,1: Continue more than 10 minutes,1,40,32,32,1E-12,N,,
X1689F,2,2,2: Disappear in 10 minutes,1,40,32,32,1E-12,N,,
X168F,.,.Z,XSPECF5.,1,40,28,28,1E-12,N,F,
X168F,LOW,0,XSPECF5.,1,40,28,28,1E-12,N,LF,
X168F,1,1,1: Very high confidence,1,40,28,28,1E-12,N,,
X168F,2,2,2: High confidence,1,40,28,28,1E-12,N,,
X168F,3,3,3: Moderate confidence,1,40,28,28,1E-12,N,,
X168F,4,4,4: Low confidence,1,40,28,28,1E-12,N,,
X168F,5,5,5: Very low or no confidence,1,40,28,28,1E-12,N,,
X1690F,.,.Z,XSPECF5.,1,40,20,20,1E-12,N,F,
X1690F,LOW,0,XSPECF5.,1,40,20,20,1E-12,N,LF,
X1690F,1,1,1: Correct address,1,40,20,20,1E-12,N,,
X1690F,2,2,2: Incorrect address,1,40,20,20,1E-12,N,,
X1691F,.,.Z,XSPECF5.,1,40,8,8,1E-12,N,F,
X1691F,LOW,0,XSPECF5.,1,40,8,8,1E-12,N,LF,
X1691F,1,1,1: Day,1,40,8,8,1E-12,N,,
X1691F,2,2,2: Week,1,40,8,8,1E-12,N,,
X1691F,3,3,3: Month,1,40,8,8,1E-12,N,,
X1691F,4,4,4: Year,1,40,8,8,1E-12,N,,
X1692F,.,.Z,XSPECF5.,1,40,27,27,1E-12,N,F,
X1692F,LOW,0,XSPECF5.,1,40,27,27,1E-12,N,LF,
X1692F,1,1,1: Door to door enumeration,1,40,27,27,1E-12,N,,
X1692F,2,2,2: Resident list,1,40,27,27,1E-12,N,,
X1693F,.,.Z,XSPECF5.,1,40,10,10,1E-12,N,F,
X1693F,LOW,0,XSPECF5.,1,40,10,10,1E-12,N,LF,
X1693F,1,1,1: English,1,40,10,10,1E-12,N,,
X1693F,2,2,2: Spanish,1,40,10,10,1E-12,N,,
X1694F,.,.Z,XSPECF5.,1,40,12,12,1E-12,N,F,
X1694F,LOW,0,XSPECF5.,1,40,12,12,1E-12,N,LF,
X1694F,1,1,1: Excellent,1,40,12,12,1E-12,N,,
X1694F,2,2,2: Very good,1,40,12,12,1E-12,N,,
X1694F,3,3,3: Good,1,40,12,12,1E-12,N,,
X1694F,4,4,4: Fair,1,40,12,12,1E-12,N,,
X1694F,5,5,5: Poor,1,40,12,12,1E-12,N,,
X1695F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X1695F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X1695F,1,1,1: Extremely difficult or imposs,1,40,32,32,1E-12,N,,
X1695F,2,2,2: Very difficult,1,40,32,32,1E-12,N,,
X1695F,3,3,3: Difficult,1,40,32,32,1E-12,N,,
X1695F,4,4,4: Slightly difficult,1,40,32,32,1E-12,N,,
X1695F,5,5,5: Not difficult,1,40,32,32,1E-12,N,,
X1696F,.,.Z,XSPECF5.,1,40,22,22,1E-12,N,F,
X1696F,LOW,0,XSPECF5.,1,40,22,22,1E-12,N,LF,
X1696F,1,1,1: Extremely difficult,1,40,22,22,1E-12,N,,
X1696F,2,2,2: Very difficult,1,40,22,22,1E-12,N,,
X1696F,3,3,3: Difficult,1,40,22,22,1E-12,N,,
X1696F,4,4,4: Slightly difficult,1,40,22,22,1E-12,N,,
X1696F,5,5,5: Not difficult,1,40,22,22,1E-12,N,,
X1697F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X1697F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X1697F,1,1,1: Extremely unimportant,1,40,32,32,1E-12,N,,
X1697F,2,2,2: Unimportant,1,40,32,32,1E-12,N,,
X1697F,3,3,"3: Neither un-important, nor imp",1,40,32,32,1E-12,N,,
X1697F,4,4,4: Important,1,40,32,32,1E-12,N,,
X1697F,5,5,5: Extremely important,1,40,32,32,1E-12,N,,
X1698F,.,.Z,XSPECF5.,1,40,21,21,1E-12,N,F,
X1698F,LOW,0,XSPECF5.,1,40,21,21,1E-12,N,LF,
X1698F,1,1,1: Have never had sex,1,40,21,21,1E-12,N,,
X1698F,2,2,2: Only with women,1,40,21,21,1E-12,N,,
